aVF,aVL,aVR,I,II,III,V1,V2,V3,V4,V5,V6
1887.6556547868,167.231533289379,-2222.00428179381,1524.83570873824,2667.93199451728,1045.89272161467,1945.13036983416,2533.84143907239,2376.27189720562,-324.110002403861,1070.97717303471,311.815594391848
1877.1828568418,169.739704831355,-2214.53596862355,1534.39168877397,2656.931987061,1041.20628198305,1923.40133751561,2531.78552580712,2377.19706488026,-306.484484862939,1069.86570265395,312.858108808178
1855.88293270941,172.170079404651,-2199.1411941279,1536.92429703342,2632.72029530578,1027.61017175871,1900.54160020041,2522.49909568898,2373.8501750923,-292.101881713005,1058.89409933326,313.555492012164
1825.42606141894,174.515442193411,-2177.01357588461,1532.036210248,2597.26348596796,1006.06113948857,1876.56536268082,2507.57589011946,2366.17977625638,-280.811746749409,1039.2121433065,315.318277834336
1785.90340867198,176.76874713208,-2148.16901109906,1519.98858193529,2550.64310457097,976.754781029751,1851.52175639752,2487.10400387318,2354.39476989233,-272.47662784954,1011.15176941158,318.188227222572
1736.7972015857,178.920464773989,-2112.17963160985,1501.38438719407,2492.20497201572,939.664442259847,1825.53910512691,2460.58405597554,2338.89042180675,-266.941361453011,974.775645091726,321.593291627436
1678.46340712741,180.962010008004,-2069.10237785775,1477.10787073998,2422.38344692571,895.197090752207,1798.78421623589,2428.06931089939,2320.17776253428,-263.845449721404,930.778906177139,325.596730381424
1611.1828217636,182.88751270442,-2018.78727961906,1448.1163701829,2341.48436228653,843.674823502866,1771.38917964094,2389.70578155836,2298.8160116202,-262.851108566285,880.053954193199,330.215458803766
1534.82474294365,184.694017062305,-1960.64047795345,1414.99179739285,2249.180980728,785.152675270209,1743.47384588859,2345.92933676722,2275.29919922806,-263.869003941106,823.640640616367,335.352603219485
1449.51572304943,186.38016270839,-1894.27986135561,1378.26564086114,2145.45186642779,719.84326176021,1715.09997768371,2297.40080014983,2250.08512279556,-266.781938130223,762.747402863497,340.990055956484
1355.37636262508,187.944215286417,-1819.41215456721,1338.71848211443,2030.32826595838,648.026640663111,1686.1450026121,2244.42227403463,2223.66501494736,-271.36093212764,698.414316166857,346.579583637409
1253.22155041011,189.38446342566,-1736.53589064967,1297.23390941513,1904.77871995705,570.478026553549,1656.53948076576,2187.42966144591,2196.48027910652,-277.151876102146,631.717854733737,351.965392278079
1145.83141826144,190.698679283809,-1648.21113400892,1254.92699783492,1772.39544729385,489.263897373884,1626.37776622716,2127.40017830295,2168.85160974505,-283.123998725317,563.98139112392,358.312367305474
1036.85080440476,191.884489397617,-1557.92627739041,1213.02154612414,1637.93436656765,407.025004898481,1595.77281637562,2065.49762654924,2141.03034312059,-287.990378650468,496.592981161339,367.275699644354
929.614022350886,192.940779650593,-1468.85448778081,1172.49162070794,1505.69068559719,326.187788292179,1565.07980908425,2003.11116978609,2113.25015054278,-290.642661288779,431.002148939896,380.835429058557
827.705867353157,193.866528635628,-1384.42548883795,1134.35238081719,1380.31125317148,249.326847793231,1534.36038569469,1941.56674466997,2085.68661972516,-289.906403175257,368.610421058241,400.543390999449
734.800787070352,194.659838820705,-1308.14832577056,1099.87677345036,1266.65266373213,179.056456236947,1502.74894508486,1881.56978721099,2058.43742825646,-284.506717814243,310.531560675114,426.388124158381
654.181578361216,195.318754714267,-1243.12287222028,1070.27405560605,1169.05792100615,117.717573241716,1469.18610452515,1823.67030261172,2031.60031890714,-273.304583885467,257.769721546072,457.663388789757
589.176300033869,195.841304623664,-1192.52034655206,1046.66860178438,1091.91233089092,67.6735737303823,1432.68057233717,1768.61057371384,2005.29545465827,-255.184651966474,211.360641745478,493.349278495027
542.061411490626,196.225897026354,-1158.42879311697,1029.80811296547,1038.14896208443,30.5759188374313,1392.66359129197,1717.23674784599,1979.69202196495,-229.450047746395,172.29644747757,532.769268237381
512.629528992052,196.472261800997,-1140.34917694251,1019.56432896912,1007.23871427971,6.42046832963592,1350.00954270204,1670.81244372749,1955.12831465145,-196.375073843081,141.634362482065,576.697330604335
